
CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2010-1-14,-2,-3,-5,-3,-4,-6,93,91,86,1019,1015,1014,10,6,4,26,18,,0.00,7,Snow,87
2010-1-15,-2,-3,-5,-3,-5,-6,93,88,86,1030,1025,1019,5,5,4,21,14,,0.00,7,Snow,97
2010-1-16,-2,-3,-3,-4,-4,-5,93,86,80,1030,1026,1018,10,7,5,21,14,,0.00,7,,105
2010-1-17,1,-2,-4,1,-3,-5,100,92,86,1017,1014,1012,7,5,1,19,14,,0.00,6,Rain-Snow,124
2010-1-18,1,-1,-3,0,-2,-4,100,93,87,1024,1022,1017,7,5,3,16,10,,0.00,6,Fog-Snow,292
2010-1-19,1,0,-1,1,1,-2,100,99,87,1024,1022,1021,5,2,1,13,8,,0.00,6,Fog-Rain-Snow,122
2010-1-20,0,-3,-7,0,-4,-9,100,91,86,1023,1021,1020,7,5,2,24,16,,0.00,7,Snow,84
2010-1-21,-7,-8,-9,-9,-10,-11,93,84,80,1030,1027,1024,10,8,3,24,14,,0.00,6,Snow,65
2010-1-22,-6,-8,-9,-10,-10,-12,86,79,74,1032,1031,1030,10,9,7,21,14,,0.00,6,Snow,90
2010-1-23,-9,-11,-13,-11,-13,-16,93,80,67,1032,1031,1030,8,7,4,26,16,,0.00,6,Fog,93
2010-1-24,-9,-12,-15,-15,-16,-17,85,72,58,1032,1032,1031,10,6,5,27,21,,0.00,6,Snow,91
2010-1-25,-9,-11,-12,-14,-15,-16,73,69,62,1037,1034,1032,9,7,5,24,21,,0.00,,,74
2010-1-26,-9,-13,-17,-16,-18,-19,85,67,49,1042,1040,1037,9,6,5,19,11,,0.00,,,49
2010-1-27,-2,-11,-18,-3,-13,-21,93,80,58,1040,1023,998,10,5,1,34,8,,0.00,6,Snow,236
2010-1-28,2,0,-2,0,-1,-3,93,87,75,998,994,992,10,9,2,34,26,58,0.00,5,Snow,281
2010-1-29,1,0,-1,1,-1,-2,100,90,81,992,986,976,10,8,2,26,18,,0.00,6,Snow,223
2010-1-30,1,-4,-8,0,-5,-10,93,83,69,999,986,976,10,9,3,48,27,71,0.00,6,Snow,278
2010-1-31,0,-4,-8,-2,-7,-9,93,82,69,1004,1001,999,10,10,6,21,13,,0.00,5,Snow,213
2010-2-1,1,-1,-2,-1,-3,-5,93,82,70,1008,1005,1004,10,9,4,26,18,,0.00,6,Snow,238
2010-2-2,1,-2,-5,0,-4,-7,100,85,69,1012,1006,995,10,7,1,35,19,63,0.00,6,Snow,226
2010-2-3,3,1,-1,0,-2,-3,93,85,70,1014,1003,995,10,10,5,35,23,,0.00,5,Snow,261
2010-2-4,2,0,-2,1,-1,-4,100,90,75,1017,1016,1014,10,8,4,21,11,,0.00,5,Rain-Snow,166
2010-2-5,3,1,-1,1,-2,-4,93,84,75,1017,1014,1012,10,9,5,23,14,,0.00,5,,91
2010-2-6,0,-3,-6,-3,-5,-8,93,79,69,1022,1016,1013,10,9,6,26,19,,0.00,6,Snow,71
2010-2-7,-3,-4,-6,-6,-7,-8,93,85,74,1025,1023,1022,9,8,5,21,13,,0.00,7,Snow,43
